domain,application,version,users,MAU,HYAU,posts
video.marcorennmaus.de,peertube,6.0.2,68,3,4,1812
veedeo.org,peertube,6.0.2,66,20,41,26308
varis.tv,peertube,6.0.4,65,2,10,220
tv.atmx.ca,peertube,6.0.4,61,1,6,9646
tube.rebellion.global,peertube,5.0.0,59,7,13,1202
video.comune.trento.it,peertube,6.0.4,59,4,11,205
tube.calculate.social,peertube,4.2.2,57,4,7,138
comics.peertube.biz,peertube,6.0.4,55,1,5,117031
fossfarmers.company,peertube,6.0.4,55,11,37,369032
tube.aquilenet.fr,peertube,6.0.3,54,6,12,64134
videos.cemea.org,peertube,6.0.3,54,10,17,933
vid.femboyfurry.net,peertube,5.2.1,54,9,46,12713
peertube.xwiki.com,peertube,6.0.3,50,1,3,100
peertube.anon-kenkai.com,peertube,6.0.4,50,5,44,84213
video.r3s.nrw,peertube,4.0.0,50,1,1,4858
videos.iut-orsay.fr,peertube,6.0.4,50,3,12,330
www.vnchich.net,peertube,6.0.4,50,47,50,1191
tube.froth.zone,peertube,6.0.2,49,2,2,32205
tube.grin.hu,peertube,5.2.1,48,4,9,2036
peertube.slat.org,peertube,6.0.4,48,4,12,18428
tube.anjara.eu,peertube,6.0.4,46,2,5,253687
peertube.wtf,peertube,6.0.1,46,15,45,75239
tube.rooty.fr,peertube,6.0.4,46,1,5,17429
media.interior.edu.uy,peertube,3.0.1,46,1,8,90
peertube.1312.media,peertube,4.0.0,44,1,4,431134
freediverse.com,peertube,6.0.4,44,9,19,413363
video.altertek.org,peertube,6.0.2,44,0,1,2358
peertube.bike,peertube,5.0.1,43,1,31,21
v.basspistol.org,peertube,6.0.4,42,5,17,57831
peertube.red,peertube,6.0.4,42,2,32,152717
astrotube-ufe.obspm.fr,peertube,6.0.4,42,4,10,401
peertube.wiredentrypoint.xyz,peertube,6.0.2,41,0,3,30594
medias.debrouillonet.org,peertube,6.0.4,41,9,18,210
syrteplay.obspm.fr,peertube,6.0.4,41,11,26,401
leopard.tube,peertube,6.0.3,40,2,3,86
tube.teckids.org,peertube,6.0.3,40,2,3,86
kino.kompot.si,peertube,6.0.3,39,4,8,4858
styxhexenhammer666.com,peertube,6.0.4,39,20,39,176242
gade.o-k-i.net,peertube,6.0.3,38,5,11,11891
videos.bik.opencloud.lu,peertube,5.1.0,38,0,0,12
apertatube.net,peertube,6.0.4,37,7,13,15020
nastub.cz,peertube,5.2.1,37,2,9,2775
peertube.we-keys.fr,peertube,6.0.4,36,3,4,6978
tube.conferences-gesticulees.net,peertube,4.1.1,36,0,1,77
peertube.communecter.org,peertube,3.2.1,36,3,16,104
xxivproduction.video,peertube,6.0.1,35,7,11,55450
aperi.tube,peertube,6.0.4,35,10,14,1280
tube.undernet.uy,peertube,5.2.0,35,10,19,64893
tube.numerique.gouv.fr,peertube,5.2.1,35,15,25,188
peertube.openstreetmap.fr,peertube,5.1.0,33,6,15,1229
www.neptube.io,peertube,6.0.2,33,7,21,48904
peertube.serveur.slv-valbonne.fr,peertube,5.1.0,33,0,0,167
artitube.artifaille.fr,peertube,5.1.0,33,0,2,102
vhs.absturztau.be,peertube,6.0.4,32,8,11,42234
video.soi.ch,peertube,3.1.0,32,0,2,88
peertube.underworld.fr,peertube,5.1.0,31,2,3,59168
v.9tail.net,peertube,5.2.1,30,1,14,292298
peertube.nomagic.uk,peertube,6.0.4,30,2,8,59415
bolha.tube,peertube,6.0.4,30,14,23,2719
bark.video,peertube,6.0.4,30,8,18,18712
peertube.rural-it.org,peertube,5.1.0,30,0,2,6223
anarchy.tube,peertube,6.0.4,30,8,16,130
pire.artisanlogiciel.net,peertube,5.2.1,29,2,4,22112
peertube2.cpy.re,peertube,6.1.0-rc.1-nightly-2024-04-18,28,5,14,103094
peertube2.cpy.re:443,peertube,6.1.0-rc.1-nightly-2024-04-19,28,6,14,103127
peertube.lhc.net.br,peertube,5.1.0,27,5,10,18537
watch.goodluckgabe.life,peertube,5.1.0,27,4,4,271
moderndaywizards.org,peertube,5.2.1,27,16,25,5566
video.fabriquedelatransition.fr,peertube,6.0.3,26,6,14,18
peertube.plataformess.org,peertube,4.0.0,26,6,10,255
peertube.researchinstitute.at,peertube,5.1.0,26,3,11,2
tube.rsi.cnr.it,peertube,4.1.1,26,7,16,378
vanua.tube,peertube,5.2.1,26,0,1,47
video.snug.moe,peertube,6.0.2,25,3,4,739
video.telemillevaches.net,peertube,6.0.4,25,2,3,732
communitymedia.video,peertube,6.0.3,24,8,19,12961
tube.graz.social,peertube,6.0.3,24,2,9,2738
peertube.virtual-assembly.org,peertube,3.1.0,24,3,5,837
video.rs-einrich.de,peertube,6.0.4,24,1,1,103
trailers.ddigest.com,peertube,6.0.4,24,7,10,135
tube.fede.re,peertube,5.0.1,23,5,10,62864
digitalcourage.video,peertube,6.0.4,23,4,8,1178
tube.portes-imaginaire.org,peertube,5.2.1,23,4,9,42530
peertube.art3mis.de,peertube,6.0.3,23,3,10,4522
my-sunshine.video,peertube,6.0.4,23,10,16,23645
videos.globenet.org,peertube,6.0.4,23,4,6,589
tube.schule.social,peertube,6.0.4,23,2,4,248
tube.fedi.quebec,peertube,6.0.4,22,9,22,117390
tube.systerserver.net,peertube,5.2.1,21,2,9,80
peertube.pix-n-chill.fr,peertube,6.0.4,21,2,7,1844
displayeurope.video,peertube,6.0.3,21,13,20,7610
videos.coletivos.org,peertube,4.3.0,21,1,2,18652
tubulus.openlatin.org,peertube,6.0.3,20,0,1,10085
punktube.net,peertube,5.2.1,20,5,13,63
vid.twhtv.club,peertube,5.2.1,20,1,4,2336
peertube.se,peertube,4.0.0,20,5,10,759
thevideoverse.com,peertube,3.4.0,20,0,1,25
www.vidyaley.com,peertube,6.0.3,20,0,3,1492
videos.danksquad.org,peertube,5.2.1,19,4,10,39717
tube.jeena.net,peertube,6.0.0,19,3,8,15067
video.osgeo.org,peertube,6.0.2,19,5,13,868
pt.thishorsie.rocks,peertube,6.0.4,19,4,14,6142
video.audiovisuel-participatif.org,peertube,6.0.4,19,4,8,1324
tube.thechangebook.org,peertube,6.0.3,19,3,6,42651
video.eientei.org,peertube,5.1.0,19,1,3,200223
video.pcf.fr,peertube,6.0.4,19,1,7,1495
peertube.hostservice.nl,peertube,5.2.0,19,1,3,9
peertube.hellsite.net,peertube,3.4.1,19,0,1,13331
tube.interhacker.space,peertube,4.3.1,19,2,7,192
vids.stary.pc.pl,peertube,5.2.0,19,1,7,203
kinowolnosc.pl,peertube,6.0.3,18,2,10,74
tube.lab.nrw,peertube,6.0.3,18,1,2,5737
north.tube,peertube,6.0.3,18,4,8,18718
tube.bit-friends.de,peertube,6.0.4,18,0,8,38096
tube.hokai.lol,peertube,5.2.1,18,2,3,6199
tube.sloth.network,peertube,5.2.1,18,0,1,3862
video.mshparisnord.fr,peertube,6.0.4,18,5,10,56
peertube.libretic.fr,peertube,6.0.4,17,4,11,14038
peertube.tiennot.net,peertube,6.0.3,17,0,0,1270
pace.rip,peertube,4.3.1,17,1,3,0
video.na-prostem.si,peertube,4.3.0,17,1,3,28
tube.exozy.me,peertube,6.0.4,16,0,5,18367
peertube.anduin.net,peertube,6.0.4,16,3,5,218692
video.shitposter.club,peertube,4.1.0,16,2,5,170
videos.fsci.in,peertube,2.2.0,16,null,null,104
dev.dollarvigilante.tv,peertube,6.0.3,16,8,10,730
catshit.blips2.club,peertube,6.0.3,16,16,16,21
tv.undersco.re,peertube,5.0.0,15,6,9,97
video.blueline.mg,peertube,6.0.4,15,1,1,84248
www.videos-libr.es,peertube,6.0.4,15,2,6,3027
video.g3l.org,peertube,3.0.1,15,1,2,10068
kadras.live,peertube,5.2.1,15,2,15,39624
peertube.scyldings.com,peertube,3.4.0,15,0,0,23
