domain,apli,version,users,am,ahy,posts ,
localization.cafe,mastodon,4.2.0,249 ,73 ,126 ,5989 ,
mstr.cloud,mastodon,4.2.0-nightly.2023-09-21+glitch,1 ,1 ,1 ,2810 ,
strelizia.net,akkoma,3.10.3-1544-gaa1925bd-akkoma,11 ,6 ,8 ,105738 ,
pl.nulled.red,akkoma,3.9.3-0-g9d7c877,36 ,12 ,251 ,12360 ,
misskey.ayutsuki.net,misskey,13.14.2,10 ,null,null,1410 ,
mitra.076.moe,mitra,1.31.1,37 ,7 ,32 ,98 ,
henshaw.social,mastodon,4.2.0,1 ,1 ,1 ,3987 ,
hispagatos.space,mastodon,4.1.9,2801 ,117 ,254 ,73804 ,
schaumburg.social,mastodon,4.1.1,28 ,25 ,27 ,42782 ,
gomachan.web-kotobuki.net,misskey,13.14.2,5 ,null,null,553 ,
m.beautifullosers.org,mastodon,4.2.0,15 ,6 ,9 ,9233 ,
mstdn.y-zu.org,mastodon,4.1.4,271 ,71 ,107 ,441760 ,
gn-tronics.dev,mastodon,4.1.4,2 ,2 ,2 ,445 ,
wandzeitung.xyz,mastodon,4.2.0,40 ,23 ,29 ,31959 ,
crowleyclub.com,mastodon,4.2.0,1 ,1 ,1 ,869 ,
masto.futbol,mastodon,4.2.0,3 ,3 ,5 ,438 ,
flower.afn.social,mastodon,3.2.2,751 ,96 ,134 ,9895600 ,
misskey.moe,misskey,2023.9.2,64 ,null,null,33431 ,
misskey.social,misskey,2023.9.3,519 ,null,null,17299 ,
people.unfoo.net,akkoma,3.10.4,6 ,2 ,3 ,53 ,
toot.ikata.co,mastodon,4.1.4,3 ,1 ,3 ,276 ,
mstdn.lalafell.org,mastodon,4.1.4,123 ,22 ,49 ,12222 ,
shigusegubu.club,pleroma,2.5.54-6504-ga5048c27-shigusegubu,111 ,5 ,9 ,524424 ,
misskey.tailc0bbe.ts.net,misskey,2023.9.0,22 ,null,null,2620 ,
travelpandas.fr,mastodon,4.2.0,66 ,38 ,84 ,13846 ,
ohai.social,mastodon,4.2.0,38749 ,4075 ,11246 ,997947 ,
pleroma.debian.social,pleroma,2.5.0,62 ,18 ,24 ,2121 ,
plr.ph3j.com,pleroma,2.4.52-686-g497cd5d5-develop,3 ,1 ,1 ,1943 ,
zdf.social,mastodon,4.1.4,8 ,3 ,5 ,9932 ,
whitehouse.org,mastodon,4.2.0,5 ,2 ,2 ,457 ,
homoo.social,mastodon,4.1.5,174 ,49 ,81 ,560000 ,
social.mckendrick.io,mastodon,4.2.0,1 ,1 ,1 ,93 ,
velocipederider.com,mastodon,4.2.0,2 ,2 ,2 ,5210 ,
mstdn.tokyocameraclub.com,mastodon,4.1.6,10029 ,231 ,584 ,123965 ,
persiansmastodon.com,mastodon,4.2.0,6315 ,1261 ,5702 ,18521 ,
lea.lgbt,mastodon,4.1.9,3 ,1 ,2 ,3663 ,
mon-desu.com,mastodon,4.1.6,23 ,14 ,22 ,11231 ,
social.linux.pizza,mastodon,4.2.0,11097 ,1488 ,1488 ,491466 ,
todon.nl,mastodon,4.2.0,3349 ,398 ,603 ,1356167 ,
gadgetboy.social,mastodon,4.2.0,1 ,1 ,1 ,2202 ,
boitam.eu,mastodon,4.2.0,31 ,22 ,23 ,64351 ,
securitycafe.ca,mastodon,4.2.0,17 ,3 ,5 ,1409 ,
mtdn.zenmai.org,mastodon,4.2.0,4 ,1 ,4 ,939 ,
chin-co-ne.co,mastodon,4.2.0,1 ,1 ,1 ,98839 ,
mstdn.mystikos.org,mastodon,4.2.0,5 ,1 ,1 ,132 ,
social.underza.net,mastodon,4.1.6,2 ,1 ,1 ,60 ,
mindly.social,mastodon,4.2.0,35580 ,3061 ,9020 ,1079698 ,
smithtodon.org,mastodon,4.2.0,3 ,1 ,1 ,1283 ,
mastodon.gideonstar.de,mastodon,4.1.9,1 ,1 ,1 ,1125 ,
digipres.club,hometown,4.0.10+hometown-1.1.1,667 ,274 ,388 ,80889 ,
social.kyzune.com,akkoma,3.10.4-1-gebfb617b,1 ,1 ,1 ,0 ,
tabletop.vip,mastodon,4.2.0,264 ,71 ,182 ,14166 ,
bhre.social,mastodon,4.2.0,295 ,36 ,155 ,2507 ,
akkoma.nl,akkoma,3.10.4-0-gebfb617,6 ,3 ,5 ,69 ,
mstdn.nere9.help,mastodon,3.5.5,469 ,134 ,214 ,1155209 ,
tiz.social,mastodon,4.2.0,28 ,18 ,26 ,185 ,
social.matsuuratomoya.com,mastodon,4.2.0,1 ,1 ,1 ,691 ,
m6n.onsen.tech,mastodon,4.2.0,319 ,22 ,22 ,54864 ,
msk.kitazawa.me,misskey,2023.9.3,50 ,null,null,10842 ,
misskey.syakesaba.com,misskey,13.14.2,3 ,null,null,91 ,
mstdn.bmw-and-more.info,mastodon,4.2.0,1 ,1 ,1 ,9533 ,
mublog.nl,mastodon,4.2.0,9 ,5 ,8 ,4850 ,
labyrinth.social,hometown,4.0.10+hometown-1.1.1,16 ,12 ,15 ,22897 ,
sunny.garden,mastodon,4.2.0,1549 ,499 ,937 ,112816 ,
misskey.yukoduka.com,misskey,2023.9.3,7 ,null,null,236 ,
mastodon.liferuler2001.co.uk,mastodon,4.1.4,3 ,1 ,1 ,244 ,
social.suchtbasis.de,mastodon,4.2.0,3 ,3 ,3 ,499 ,
misskey.tpt.works,misskey,2023.9.3,4 ,null,null,1022 ,
epistolary.org,mastodon,4.2.0,44 ,15 ,23 ,6765 ,
epicure.social,mastodon,4.1.7,901 ,161 ,313 ,55278 ,
m.servperso.net,mastodon,4.1.6,16 ,3 ,14 ,1019 ,
an.exchange,mastodon,4.2.0,8 ,2 ,7 ,1108 ,
toad.social,mastodon,4.2.0,3011 ,635 ,1139 ,401542 ,
sciences.social,mastodon,4.2.0,3986 ,1297 ,2310 ,103067 ,
mstdn.fujii-yuji.net,mastodon,4.2.0,1 ,1 ,1 ,40883 ,
mastodon.ar.al,mastodon,4.2.0,1 ,1 ,1 ,29449 ,
mstdn.co.uk,mastodon,4.2.0,3 ,1 ,2 ,3873 ,
crossdon.com,mastodon,4.2.0,1 ,1 ,1 ,866 ,
lucha.nyc,mastodon,4.2.0,8 ,2 ,6 ,1171 ,
teh.entar.net,mastodon,4.2.0,35 ,22 ,28 ,21931 ,
umaikebab.xyz,mastodon,4.2.0,6 ,6 ,6 ,2045 ,
nightly.fedibird.com,fedibird,0.1,346 ,203 ,306 ,171269 ,
mi.ichigo.dev,misskey,2023.9.3,6 ,null,null,358 ,
social.la10cy.net,mastodon,4.1.4,10 ,5 ,8 ,4305 ,
misskey.meglia.dev,misskey,13.13.2,4 ,null,null,212 ,
lor.sh,mastodon,4.1.9,4412 ,547 ,1152 ,452974 ,
ecoevo.social,mastodon,4.2.0,5138 ,1582 ,2919 ,192255 ,
livellosegreto.it,mastodon,4.2.0,6252 ,1647 ,2707 ,331254 ,
pokemon.men,mastodon,4.1.3,77 ,6 ,17 ,109290 ,
misskey.akyoz.net,misskey,13.14.2,3 ,null,null,1259 ,
hashi.icu,misskey,2023.9.3-player,221 ,null,null,14371 ,
mastodon.scot,mastodon,4.2.0,28674 ,4742 ,10794 ,1443042 ,
ward2.bouvardia.icu,misskey,13.11.3,8 ,null,null,15246 ,
plantex.top,mastodon,4.0.6,62 ,47 ,61 ,14577 ,
radio.quaqoostore.net,mastodon,4.2.0-beta2,2 ,2 ,2 ,337 ,
mstdn.nekonote.cc,mastodon,4.2.0,1 ,1 ,1 ,5645 ,
mstdn.hiyuki2578.net,mastodon,4.2.0-beta2,9 ,1 ,5 ,61110 ,
penfount.social,mastodon,4.2.0,178 ,74 ,184 ,6185 ,
duk.space,mastodon,4.2.0,179 ,89 ,134 ,19635 ,
misskey.afy.jp,misskey,2023.9.3-icy(2023.10.01.03),30 ,null,null,1237 ,
social.genya0407.link,mastodon,4.2.0,2 ,1 ,1 ,774 ,
social.lansky.name,mastodon,4.2.0,6 ,5 ,5 ,140831 ,
mosw.work,mastodon,4.2.0,1 ,1 ,1 ,308728 ,
misskey.kr,misskey,13.14.2,425 ,null,null,15051 ,
furtenbach.social,mastodon,4.2.0,3 ,3 ,3 ,1568 ,
akko.wtf,akkoma,3.10.3-203-gd1af78ab-develop,107 ,65 ,96 ,85203 ,
apkallu.us,mastodon,4.2.0,1 ,1 ,1 ,47 ,
esoteric.party,mastodon,4.2.0,9 ,6 ,6 ,3285 ,
mi.cbrx.io,misskey,2023.9.3.cs3,1072 ,null,null,62133 ,
room19.com,mastodon,4.1.2,22 ,7 ,12 ,9664 ,
m.tkngh.jp,misskey,tsubuyaita-1.2,128 ,null,null,44388 ,
phpc.social,mastodon,4.1.9,4191 ,1017 ,1861 ,166100 ,
wspanialy.eu,mastodon,4.2.0,64 ,53 ,71 ,6937 ,
cdrum.social,mastodon,4.2.0,1 ,1 ,1 ,603 ,
gochisou.photo,mastodon,4.1.7,220 ,38 ,83 ,79975 ,
joshuastrobl.social,mastodon,4.2.0,1 ,1 ,1 ,96 ,
genix.ink,mastodon,4.2.0,13 ,10 ,10 ,21651 ,
eei-misskey.com,misskey,13.14.2,8 ,null,null,139 ,
plushies.social,mastodon,4.2.0,57 ,48 ,54 ,26365 ,
aethy.com,mastodon,4.2.0,12477 ,5876 ,11740 ,589847 ,
toot.ale.gd,mastodon,4.1.3,9 ,6 ,7 ,2072 ,
notacult.social,mastodon,4.2.0,109 ,29 ,54 ,22127 ,
shakedown.social,mastodon,4.2.0,1736 ,595 ,1078 ,156618 ,
tapbots.social,mastodon,4.2.0,9 ,6 ,7 ,12246 ,
mstdn.bgmn.net,mastodon,4.2.0,1 ,1 ,1 ,78 ,
misskey.tech,misskey,2023.9.3,37 ,null,null,9667 ,
mk.toast.cafe,foundkey,13.0.0-preview6,21 ,8 ,16 ,109650 ,
nitiasa.com,mastodon,4.1.4,52 ,7 ,28 ,12374 ,
mastodon.sethb.com,mastodon,4.2.0,1 ,1 ,1 ,281 ,
varmint.town,mastodon,4.2.0,3 ,3 ,3 ,1074 ,
warped.dev,iceshrimp,1.0.2,4 ,2 ,3 ,4337 ,
mstdn.plus,mastodon,4.2.0,11291 ,1211 ,3823 ,85282 ,
social.anoxinon.de,mastodon,4.2.0,10222 ,2219 ,4504 ,341140 ,
social.yoichihirai.com,pleroma,2.5.5,1 ,1 ,1 ,46 ,
mastodon.g2od.ch,mastodon,4.2.0,6 ,5 ,5 ,505 ,
eldritch.cafe,mastodon,4.2.0+glitch,12754 ,1512 ,2519 ,2358230 ,
tmux.f5.si,mastodon,4.2.0,1 ,1 ,1 ,888 ,
mstdn2.ht164.jp,mastodon,4.1.4-ht,4 ,1 ,4 ,2926 ,
asphodel.rip,akkoma,3.10.4,6 ,6 ,7 ,1046 ,
chaos.social,mastodon,4.2.0,11344 ,6089 ,7270 ,5075579 ,
reimalab.art,mastodon,4.2.0,1 ,1 ,1 ,67 ,
mxtthxw.art,mastodon,4.2.0,4 ,2 ,5 ,1721 ,
soc.kvet.ch,mastodon,4.2.0,4 ,3 ,3 ,2309 ,
social.cbinary.sk,mastodon,4.0.2,5 ,3 ,3 ,3344 ,
fix.misskey.life,misskey,13.6.1,701 ,null,null,184020 ,
an.errant.cloud,mastodon,4.2.0,10 ,4 ,5 ,1512 ,
suomi.social,mastodon,4.2.0,38 ,26 ,35 ,7468 ,
tuxz.one,akkoma,3.10.3,2 ,1 ,1 ,981 ,
mb.antho.dev,firefish,1.0.4-beta31,3 ,1 ,1 ,162 ,
bell.bz,mastodon,4.2.0,1 ,1 ,1 ,4011 ,
tamausa.trigonoretrism.com,misskey,13.14.2,33 ,null,null,5514 ,
novosti.social,mastodon,4.2.0,10 ,10 ,11 ,26560 ,
fe.disroot.org,akkoma,3.8.0-0-gb86b3a9-develop,1215 ,273 ,727 ,20108 ,
mastodon.cardina1.red,mastodon,4.2.0,3 ,3 ,3 ,196065 ,
thefoxandalien.club,firefish,1.0.4-beta31,6 ,4 ,4 ,1755 ,
istanza.ch,mastodon,4.2.0,2 ,2 ,2 ,1998 ,
