domain,application,version,users,MAU,HYAC,posts
social.goatzone.net,akkoma,3.10.2,6,2,6,130
nerdcore.social,akkoma,3.10.3,5,1,1,9
pleroma.neuromante.net,akkoma,3.10.4-1-gebfb617b,5,2,2,6660
akkoma.ascyltos.social,akkoma,3.10.4,5,4,7,51
social.techn1k.de,akkoma,3.10.4-0-gebfb617,5,5,5,126
tirnanog.space,akkoma,3.10.4,5,5,6,3104
p.umbriel.fr,akkoma,3.10.2,5,1,1,69847
pythonplayer123.xyz,akkoma,3.9.3-28-g9d7c877d,5,2,6,43
final.town,akkoma,3.10.4-0-g0af8e93,5,5,5,1663
sns.minovsky.space,akkoma,3.10.2-158-g59af68c6-develop,5,4,5,8133
vyos.social,akkoma,3.10.4,5,2,6,1175
social.jaderune.net,akkoma,3.10.2,5,0,3,17
ikbenpiraat.nl,akkoma,3.10.4-0-gebfb617,5,4,5,73
gentoo.live,akkoma,3.10.4-1-gebfb617b,5,5,5,29
letsrulethe.world,akkoma,3.10.4-0-gebfb617,5,3,4,1124
pleroma.otter.sh,akkoma,3.5.0-12-g63f2d1cb,5,null,null,57092
fedi.fourhappylions.com,akkoma,3.10.4,5,3,3,441
miku.place,akkoma,3.10.4-0-gebfb617,5,4,5,402
beep.flawbee.net,akkoma,3.10.3-197-g98f0820c-develop,5,4,5,447
our-town.social,akkoma,3.10.4,5,1,2,304
meowing.online,akkoma,3.3.1-0-gc6043c9ee-main,5,null,null,430
akkoma-test.hiwaga.tech,akkoma,3.5.0-0-gd9508474b,5,null,null,50
akkoma.flyerdonut.net,akkoma,3.10.4-1-gebfb617b,5,5,6,4962
fedi.joeydrew.studio,akkoma,3.10.4-0-gebfb617,5,2,4,174
social.unitoo.it,akkoma,3.10.4-1-gebfb617b,4,1,2,709
ostfrie.se,akkoma,3.10.2-0-gba1ed37,4,4,4,605
muuzikku.produkti.se,akkoma,3.10.3,4,2,4,702
kneel.before.dog,akkoma,3.10.4,4,2,3,846
akkoma.0x68756773.moe,akkoma,3.10.4,4,6,10,297
akkoma.sandhill.social,akkoma,3.7.1-0-gfef4bae,4,null,null,576
pl.inu.is,akkoma,3.9.3-28-g9d7c877d,4,2,4,76
akko.hollow.capital,akkoma,3.10.4-0-g299da5a13-hollow-capital,4,7,8,3865
spooky.social,akkoma,3.5.0-14-gd9508474,4,null,null,123
social.rhumbs.fr,akkoma,3.8.0,4,4,4,587
aposimz.net,akkoma,3.10.4-0-gebfb617,4,0,3,0
phantomthieves.net,akkoma,3.9.3-28-g9d7c877d,4,1,5,562
galaxians.garden,akkoma,3.10.4-1-gebfb617b,4,3,4,691
ak.lightnovel-dungeon.de,akkoma,3.10.4,4,1,4,2916
universe.feliver.se,akkoma,3.10.2,4,3,3,4472
va-11-hall-a.cafe,akkoma,3.10.3-221-gfeed0aae-va-11-hall-a,4,3,3,15286
akko.cuddlegirls.cafe,akkoma,3.9.3-29-ge8c43b99,4,3,3,7359
social.vlhl.dev,akkoma,3.9.3-0-g9d7c877,4,4,4,4639
feline.rodeo,akkoma,3.10.4,4,2,2,608
gay.lesaoras.xyz,akkoma,3.10.4,4,3,3,3100
akkoma.flitpix.net,akkoma,3.10.4-1-gebfb617b,4,4,4,100
pleroma.chaoswit.ch,akkoma,3.10.3,4,4,4,2829
social.chaos.koeln,akkoma,3.9.2-431-g1f8a8c72-develop,4,1,1,111
turbotime.turboteam.xyz,akkoma,3.10.3,4,1,2,333
deepspace.cafe,akkoma,3.10.4-0-gebfb617,4,3,4,56
fedi.cassilda.house,akkoma,3.10.4-0-gebfb617,4,4,6,2652
zamb.la,akkoma,3.10.3-0-g43c5fd5,4,3,4,4
akkoma.social.raku.party,akkoma,3.9.3-0-g9d7c877,4,2,6,20
bots.ferals-on.top,akkoma,3.10.4-1-gebfb617b,4,4,4,87
social.bakdos.de,akkoma,3.9.3,4,3,4,37
divergence.pp.ua,akkoma,3.9.3,4,1,4,34
labyrinth.zone,akkoma,3.10.4-1-gebfb617b,4,4,4,200
chimera.earth,akkoma,3.10.4-0-g0af8e93,4,4,4,81
ak.cute.rest,akkoma,3.10.4-1-gebfb617b,4,3,4,110
a.blahaj.world,akkoma,3.10.4-1-gebfb617b,4,3,4,748
social.alemi.dev,akkoma,3.10.4,4,3,3,287
am.bal.ovh,akkoma,3.10.4-0-gebfb617,4,4,4,22
idealists.su,akkoma,3.10.4-1-gebfb617b,4,3,3,27
social.nihil.gay,akkoma,3.10.4-1-gebfb617b,4,4,4,171
fops.cloud,akkoma,3.10.4-0-gebfb617,3,3,3,3410
akkoma.thesandbox.net,akkoma,3.9.3,3,2,2,974
couch.beerriot.com,akkoma,3.10.4-1-ga4c15863-no-fetch-with-local-limit-3-10-4,3,2,3,288
akkos.fritu.re,akkoma,3.10.2,3,1,3,1952
social.jihad.icu,akkoma,3.10.4-0-g0af8e93,3,2,2,561
fuzzyroots.net,akkoma,3.9.3-0-g9d7c877,3,2,3,582
tene.re,akkoma,3.9.3-28-g9d7c877d,3,2,2,0
t.joeldebruijn.nl,akkoma,3.10.3-0-g43c5fd5,3,2,3,685
castoranxieux.ca,akkoma,3.10.3,3,1,1,128
remolino.town,akkoma,3.10.4-0-gebfb617,3,3,3,170
fedi.u2p.net,akkoma,3.9.3-28-g9d7c877d,3,2,3,1
portend.place,akkoma,3.9.3-139-g93b92041-web-protocol-handler,3,3,3,6278
akkoma.xn--pikabl-0xa.se,akkoma,3.10.4,3,2,3,169
social.imastags.com,akkoma,3.10.4,3,3,3,2685
notes.whatthefuck.computer,akkoma,3.8.0,3,3,3,2557
a.farook.org,akkoma,3.9.3-0-g9d7c877,3,2,3,1541
akm.longyap.name.my,akkoma,3.6.0,3,null,null,4793
fedi.nano.lgbt,akkoma,3.10.4-1-gebfb617b,3,3,3,2465
social.wuatek.is,akkoma,3.10.2,3,2,3,750
pyrox.dev,akkoma,3.10.4,3,1,1,1522
ple.rorea.moe,akkoma,3.3.1,3,null,null,0
akkoma.miaowi.ng,akkoma,3.10.2-0-gba1ed37,3,3,3,512
fedi.splatoon3.ink,akkoma,3.7.1,3,null,null,6857
fedi.aria.dog,akkoma,3.10.3-0-g43c5fd5,3,2,3,4090
t.hermine.in,akkoma,3.10.4-0-gebfb617,3,2,3,462
distraction.party,akkoma,3.9.3,3,1,1,1801
nolineage.com,akkoma,3.9.3-0-g9d7c877,3,1,1,3111
soc.kouett.net.eu.org,akkoma,3.9.3-0-g9d7c877,3,3,3,13675
social.metakaos.space,akkoma,3.3.1-0-gaf90a4e51,3,null,null,323
silvernight.social,akkoma,3.10.4-1-gebfb617b,3,1,1,5982
social.zell-mbc.com,akkoma,3.10.4,3,1,2,143
social.ventora.net,akkoma,3.10.4-0-gebfb617,3,3,3,75
fedi.interestingzinc.xyz,akkoma,3.8.0,3,2,3,3500
transient.garden,akkoma,3.3.1-0-gc0eecb55b-develop,3,null,null,3
social.minbash.de,akkoma,3.10.4,3,2,2,26
a.soopy.moe,akkoma,3.10.4,3,1,2,54
lausitz.social,akkoma,3.8.0-0-gccae7ef,3,1,2,0
tinylad.social,akkoma,3.9.3-0-g9d7c877,3,1,1,216
fedi.timstrutzi.at,akkoma,3.9.3-28-g9d7c877d,3,3,3,0
social.brokaw.org,akkoma,3.9.3-0-g9d7c877,3,0,2,9
pouet.quebec,akkoma,3.8.0,3,1,1,6
akko.lightnovel-dungeon.de,akkoma,3.10.4-1-gebfb617b,3,2,5,562
akkoma.chez.chat,akkoma,3.5.0-26-g54fdf3a5,3,null,null,366
ak.gensokyo.shop,akkoma,3.10.4-1-gebfb617b,3,3,4,804
social.pyrox.dev,akkoma,3.10.4,3,1,1,1522
social.blipdrifter.com,akkoma,3.9.3-28-g9d7c877d,3,1,2,309
fedi.aap.my.id,akkoma,3.10.5+spirit,3,2,3,43
outmo.de,akkoma,3.10.4,3,2,3,265
ambrosia.cafe,akkoma,3.9.3-0-g9d7c877,3,2,2,709
typhy.club,akkoma,3.10.2-0-gba1ed37,3,3,3,150
stoner.cafe,akkoma,3.10.4-0-g0af8e93,3,2,4,2
akkoma.tbqdrn.de,akkoma,3.10.3,3,3,4,158
soc.haj.gay,akkoma,3.9.2-0-g39a878f,3,3,3,247
agda.club,akkoma,3.10.4-0-gebfb617,3,3,3,30
social.syndicalism.org,akkoma,3.9.3-28-g9d7c877d,3,2,4,65
fedi.vorboyvo.space,akkoma,3.9.3-28-g9d7c877d,3,2,3,4
social.notandy.de,akkoma,3.10.4-0-gebfb617,3,2,2,0
yap.nishy.fr,akkoma,3.10.4-1-gebfb617b,3,2,2,2
stroud.social,akkoma,3.10.4,2,2,2,2192
akko.spla.tech,akkoma,3.10.4,2,1,1,2
tuxz.one,akkoma,3.10.3,2,0,1,981
dlx.pink,akkoma,3.10.4-1-gebfb617b,2,2,2,51
agora.echelon.pl,akkoma,3.10.3-200-g5c164028-develop,2,1,1,8804
avery.garden,akkoma,3.8.0,2,2,2,2443
isnot.online,akkoma,3.9.2,2,1,1,124
microbe.vital.org.nz,akkoma,3.10.3-0-gc887dd4,2,1,1,2166
bunnyanarchy.org,akkoma,3.9.3-28-g9d7c877d,2,2,5,1433
pleroma.frickalou.com,akkoma,3.10.4-1-gebfb617b,2,1,2,17
tyt.maanebedotten.no,akkoma,3.9.3-0-g9d7c877,2,1,2,474
elezen.club,akkoma,3.9.3-0-g9d7c877,2,1,2,51
rapidsloth.xyz,akkoma,3.10.3-162-ge7788f3c-develop,2,1,2,1
akm.hora.win,akkoma,3.10.4-1-gebfb617b,2,2,2,797
toepi.moe,akkoma,3.10.2,2,1,1,1351
ak.kabukimono.top,akkoma,3.10.4-1-gebfb617b,2,2,2,126
poly.cybre.city,akkoma,3.9.3-2-gfb8081e1-develop,2,1,1,7504
ak.suzu-ya.info,akkoma,3.10.2-0-gba1ed37,2,1,2,6625
masktodon.social,akkoma,3.10.3-0-g43c5fd5,2,1,1,5
sapphic.engineer,akkoma,3.10.4,2,2,2,566
fedi.itepechi.me,akkoma,3.10.3+bnakkoma,2,2,3,50
fedi.askiiart.net,akkoma,3.10.4-0-gebfb617,2,2,2,746
hollypop.xyz,akkoma,3.10.4-1-gebfb617b,2,1,4,446
a.sinigr.space,akkoma,3.9.3-0-g9d7c877,2,2,2,1041
toot.j3b.in,akkoma,3.9.3-0-g9d7c877,2,0,3,72
fedi.nlpagan.net,akkoma,3.10.4-1-gebfb617b,2,1,2,3957
soc.7thmagic.net,akkoma,3.10.3-204-g033b7b04-develop,2,2,2,1997
social.kejadlen.dev,akkoma,3.10.3-0-gc887dd4,2,2,2,1264
enby.army,akkoma,3.10.4-1-gebfb617b,2,2,3,7
micro.shitpost.blog,akkoma,3.4.0-0-gf91b89673,2,null,null,296
bi.cbult.space,akkoma,3.7.1-0-gfef4bae,2,null,null,94
fedi.lamer-ethos.site,akkoma,3.9.3-0-g9d7c877,2,2,2,1138
thepage.house,akkoma,3.10.4-0-gebfb617,2,2,2,885
powerg.love,akkoma,3.10.4-1-gebfb617b,2,2,2,129
meta.jorun.dev,akkoma,3.10.4-1-gebfb617b,2,2,2,649
fedi.triodug.com,akkoma,3.9.3-0-g9d7c877,2,1,1,1981
social.tnhh.org,akkoma,3.10.4,2,2,2,860
pars.ee,akkoma,3.10.3-212-g6cc523bd-develop,2,2,2,5106
headpat.exchange,akkoma,3.10.4,2,2,2,301
pleroma.stuebinm.eu,akkoma,3.8.0,2,2,2,1484
