domain,application,version,users,AMU,AHYU,posts
misskey.yoshirusu.tk,misskey,13.14.2,5,null,null,29
rosei.love,misskey,13.14.2,2,null,null,0
social.territorisostenibili.org,mastodon,4.1.4,1,1,1,1
urbansound.social,mastodon,4.2.0-beta3,1,1,1,0
somaliland.media,mastodon,4.2.1,1,1,1,1
ortensia-moe-moe.club,misskey,13.14.2,2,null,null,69
toots.258990001.xyz,mastodon,4.2.0-beta3,4,2,4,7
16bit.picopico.party,misskey,2023.10.2-beta.2,3,null,null,18
tot.yt,firefish,1.0.4-beta,4,2,2,19
misskey.db0.jp,misskey,13.14.2,4,null,null,2
jorge.top,mastodon,4.1.2,6,3,6,8
masto1.ultrafeed.dev,mastodon,4.2.1,4,0,4,25
mastodon.imagisphe.re,mastodon,4.2.1,4,3,4,9
mastodon.bartmathijssen.com,mastodon,4.2.1,1,1,1,1
lemmon.website,mastodon,4.2.0-beta3,1,1,1,0
misskey.argentum-lacrima.live-on.net,misskey,13.14.2,4,null,null,273
preview-mastodon.plack.app,mastodon,4.1.7,2,1,2,3
posts.cafesocietyonline.org,mastodon,4.2.1,1,0,1,0
rssfeed.media,mastodon,4.0.2,4,4,4,458
social.ac-verne.fr,mastodon,4.2.0,8,8,9,7
mastodon.sponda.nl,mastodon,4.2.0,4,4,4,19
mi.chikage.net,misskey,2023.10.1,3,null,null,34
toot.acula.me,mastodon,4.1.9,2,2,2,0
don-dev.r-pe.net,mastodon,4.2.1,1,1,1,6
soap.bosio.info,pleroma,2.5.54-624-g9bec0223.develop+soapbox,3,2,2,3
mastodon.anteiku.mydns.jp,mastodon,4.2.0,2,2,2,63
kzhz.lol,mastodon,4.1.4,16,16,16,129
absurd.social,mastodon,4.2.1,1,1,1,2
mastodon.z6100tanneau.fr,mastodon,4.2.0,1,1,1,1
sharedresource.social,mastodon,3.5.3,1,1,1,0
nordy.social,mastodon,4.2.1,2,3,3,3
social.yey.nu,mastodon,4.2.1,2,2,3,6
misskey.akatuki-host.com,misskey,13.12.2,5,null,null,29
misskey.hoshihara.co.jp,misskey,13.14.2,8,null,null,50
blahaj.love,firefish,1.0.3,4,3,3,18
devbbs.morale.ch,misskey,2023.9.0-beta.8,182,null,null,868
triggeron.net,mastodon,4.2.1,1,1,1,17
m.h.riedel.nyc,mastodon,4.2.0,1,1,1,1
misskey.intinfinity.com,misskey,13.13.2,2,null,null,1
broadcast.kyou.systems,pleroma,2.5.5,1,1,1,47
nro.io,wildebeest,0.0.1,null,null,null,null
pleroma.booths.cyou,pleroma,2.4.3,1,null,null,19
s.kisame.xyz,pleroma,2.5.54-638-ga110a395.develop+soapbox,1,1,1,326
m.camorad.cloud,misskey,13.14.2,3,null,null,0
mastodon.pelzfeld.com,mastodon,4.0.2,2,1,2,15
phoenixharbor.social,mastodon,4.2.1,5,7,7,0
next.iceshrimp.dev,iceshrimp,2023.11-pre2,8,7,7,37
www.streamfurs.com,mastodon,4.1.2,2,0,2,1
social.dextender.com,mastodon,4.0.2,1,1,1,2
svrdndev.drillion.net,mastodon,4.3.0-alpha.0,1,1,1,4
misskey.myuu.dev,misskey,2023.9.3,3,null,null,4
don.tpc3.org,mastodon,4.1.2,15,3,8,6837
mi.4587-aya-0p.work,misskey,2023.10.1,8,null,null,10
mis.dgsy-official.com,misskey,13.14.2,10,null,null,31622
misskey.niseyama.com,misskey,2023.9.3,2,null,null,29
mech-misskey.com,misskey,2023.9.3,8,null,null,307
misskey.betopia.net,misskey,13.13.2,2,null,null,38
misskey-test.xyz,misskey,2023.9.0,2,null,null,2
motinagi.masto.host,mastodon,4.2.1,3,2,3,152
gomasaba.xyz,misskey,13.13.2,2,null,null,7
off-ba.space,misskey,13.14.2,16,null,null,4292
p.nextgeimu.net,akkoma,3.10.4-0-g0af8e93,1,1,1,0
misskey.fanet.work,misskey,13.13.1,7,null,null,52
mas.aifeel.top,mastodon,4.2.1,3,4,4,62
akkoma.asdfzdfj.xyz,akkoma,3.10.3-203-gd1af78ab-develop,2,1,2,10
friendis.masto.host,mastodon,4.2.1,4,4,4,7
elquilosonriente.com,mastodon,4.2.1,2,2,2,0
meetandgreet.at,mastodon,4.2.0-beta1,2,1,2,3
corponauts.net,mastodon,4.2.1,2,1,1,2
piracy.zip,pleroma,2.4.2,1,null,null,1
social.jmstevens.ca,mastodon,4.2.1,3,6,6,6
mstdn.syoshida.org,mastodon,4.0.2,3,2,3,10563
masto-testing.oomfie.city,mastodon,4.2.0+glitch,1,1,1,4
social.kwaite.fr,mastodon,4.2.0,1,1,1,0
social.slavlabz.su,mastodon,4.2.0,3,2,3,2
app.chang.lu:1984,mastodon,4.1.2,3,1,2,10
mi.ashchang.org,misskey,2023.9.3,3,null,null,175
superhollowknight.sytes.net,pleroma,2.5.5,4,4,4,34
social.idiotbagel.com,mastodon,4.2.1,2,3,3,12
Mastsocial.xyz,mastodon,4.1.5,4,3,4,51
wired.fedicity.net,mastodon,4.2.1,1,1,1,31
hades.town,mastodon,4.2.0+glitch,1,1,1,42
catgirl.center,firefish,1.0.5-dev18,3,1,1,1283
rstats.me,mastodon,4.2.1,10,10,10,237
mastodon.toma09to.com,mastodon,4.2.0,7,7,7,37
os-tans.social,mastodon,4.2.1,11,11,11,91
opensocial.media,mastodon,4.2.0+glitch,8,8,8,331
fursuit.social,mastodon,4.2.1,1,1,1,13
mesmerized.online,mastodon,4.2.1,246,251,251,542
lewd.lgbt,firefish,1.0.3,14,13,13,560
tamaskey.me,misskey,13.13.2,11,null,null,8163
qn.krig.jp,mastodon,4.2.1,27,27,27,3812
mastodon.mitmaro.dev,mastodon,4.1.6,21,5,7,180
mastodon.hardcover.app,mastodon,4.2.1,2,3,3,4
gx.akarinext.org,firefish,1.0.3,3,1,2,0
dev3.tmprs.net,firefish,1.0.3,2,1,1,5
wisteria.cafe,pleroma,2.5.4,5,5,5,177
xx.kunjk.top,pleroma,2.5.5,4,4,4,102
m.ryanccn.dev,misskey,2023.10.1,2,null,null,2
social.thms.uk,mastodon,4.2.0+glitch,1,1,1,3372
880318.xyz:444,misskey,13.13.2,3,null,null,115
andypiper.social,mastodon,4.2.0,1,1,1,2
tribu.akapache.co,pleroma,2.5.5,1,1,1,0
porny.social,mastodon,4.2.0,1,1,1,1
Equestria.Social,mastodon,4.2.1,2880,733,1506,228940
quickodon.social,mastodon,4.2.1,1,1,1,0
dolphin.yohjo.zip,dolphin,1.4.0-20230211123100,null,null,null,null
www.blimps.xyz,mastodon,4.2.0+asonix-changes,554,265,314,171389
xxx-stg.azyobuzi.net,pleroma,2.5.5-0-g255cf67-xxx-stg,5,0,1,5
m.nrdblg.de,mastodon,4.1.4,1,1,1,11
misskey.ima.cm,misskey,13.14.2,8,null,null,18
social.thanatos.at:8443,pleroma,2.5.52-235-g589301ce,1,1,1,0
mis.dgs.town,misskey,13.14.2,2,null,null,0
